year,county_name,fips,total_pop,total_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,jail_rated_capacity,total_jail_pretrial,total_jail_sentenced,total_jail_adm,black_jail_pop,latinx_jail_pop,white_jail_pop,aapi_jail_pop,native_jail_pop,total_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,latinx_prison_pop,white_prison_pop,aapi_prison_pop,native_prison_pop,total_prison_pop_rate,total_prison_adm,total_incarceration,total_incarceration_rate,fiscal_year_ending,total_governmental_expenditures,public_protection_expenditures,public_protection_pct_of_govt_expenditures,probation_expenditures,felony_probation,misdemeanor_probation,total_probation
2006,Tuolumne,06109,56680.0,37816.0,144.8,29.4,113.6,152.8,89.9,54.8,4248.0,1.5,11.8,126.9,1.0,1.5,382.8,303.0,23.0,280.0,,32.0,249.0,,13.0,801.2,167.0,444.2,1174.6,2006,88110644,29664418,33.67,3025824,868,1188,2056
2007,Tuolumne,06109,56339.0,37596.0,138.0,28.8,110.2,152.2,79.3,58.7,4287.0,1.5,10.0,125.0,1.0,1.5,367.1,293.0,24.0,269.0,8.0,30.0,240.0,0.0,15.0,779.3,165.0,428.5,1139.7,2007,96128869,31410399,32.68,2632035,926,1323,2249
2008,Tuolumne,06109,56320.0,37305.0,137.5,22.7,114.6,149.6,81.0,56.5,4527.0,3.0,8.7,122.3,1.6,2.6,368.6,271.0,26.0,245.0,,25.0,222.0,,14.0,726.4,166.0,408.1,1094.0,2008,95440422,32997428,34.57,2905353,1005,1249,2254
2009,Tuolumne,06109,55845.0,36850.0,120.2,26.4,98.1,150.3,81.8,38.5,4868.0,4.1,7.1,106.3,2.3,1.9,326.3,271.0,23.0,248.0,7.0,29.0,218.0,,14.0,735.4,151.0,390.5,1059.7,2009,97987038,33631757,34.32,2384028,1006,1217,2223
2010,Tuolumne,06109,55150.0,36100.0,115.2,28.4,92.1,148.2,66.4,48.9,4664.0,4.0,7.5,105.5,2.5,0.9,319.3,258.0,18.0,240.0,10.0,30.0,204.0,,11.0,714.7,118.0,373.2,1033.8,2010,94071213,31663739,33.66,2894349,1047,1198,2245
2011,Tuolumne,06109,54898.0,35794.0,121.0,26.4,99.3,148.0,46.5,74.5,5310.0,2.7,9.0,111.2,2.1,1.4,338.0,272.0,16.0,256.0,11.0,36.0,210.0,,8.0,759.9,144.0,393.0,1097.9,2011,88194807,30857396,34.99,2859445,891,1058,1949
2012,Tuolumne,06109,54407.0,34951.0,132.8,28.8,106.7,148.0,64.1,68.7,3361.0,1.5,13.0,115.1,2.5,3.8,379.8,239.0,12.0,227.0,7.0,30.0,186.0,,9.0,683.8,49.0,371.6,1063.1,2012,93148168,32687577,35.09,3465483,899,923,1822
2013,Tuolumne,06109,54334.0,34520.0,137.5,29.2,110.0,147.8,61.8,75.7,3240.0,2.0,11.9,118.1,3.6,3.4,398.3,281.0,16.0,265.0,9.0,28.0,229.0,,,814.0,99.0,417.8,1210.2,2013,94757726,33714042,35.58,3870703,916,825,1741
2014,Tuolumne,06109,54306.0,34164.0,140.0,32.1,108.4,147.1,57.3,82.7,3203.0,3.5,11.0,116.8,3.6,3.9,409.8,291.0,19.0,272.0,11.0,34.0,233.0,,,851.8,77.0,429.8,1258.1,2014,93883447,35266474,37.56,4257406,595,520,1115
2015,Tuolumne,06109,54233.0,33695.0,145.0,38.5,107.0,147.0,42.6,102.4,3261.0,3.5,14.9,116.1,2.6,7.4,430.3,274.0,24.0,250.0,14.0,30.0,213.0,,10.0,813.2,78.0,414.5,1230.2,2015,110575455,43889161,39.69,4479396,393,309,702
2016,Tuolumne,06109,54433.0,33539.0,143.0,36.4,107.6,147.0,51.1,91.9,3117.0,2.9,14.2,115.1,4.0,7.8,426.4,278.0,27.0,251.0,13.0,31.0,212.0,4.0,14.0,828.9,84.0,420.1,1252.5,2016,119999912,38804285,32.34,4527893,506,125,631
2017,Tuolumne,06109,54784.0,33326.0,145.0,32.2,113.0,147.0,91.2,53.8,3144.0,4.4,13.4,118.3,3.5,6.0,435.1,288.0,28.0,260.0,11.0,26.0,223.0,4.0,19.0,864.2,94.0,430.6,1292.0,2017,121561096,40959630,33.69,4261431,505,89,594
2018,Tuolumne,06109,55186.0,33171.0,142.8,27.5,116.0,147.0,73.2,69.6,3231.0,5.9,13.7,113.2,1.5,5.4,430.3,275.0,26.0,249.0,9.0,26.0,218.0,,13.0,829.0,76.0,416.4,1255.4,2018,128584001,42975034,33.42,4151911,539,113,652
2019,Tuolumne,06109,55379.0,32825.0,143.5,24.8,119.2,147.0,56.6,115.2,2974.0,,13.9,107.3,2.0,7.0,437.2,264.0,19.0,245.0,12.0,23.0,209.0,,13.0,804.3,73.0,405.6,1235.5,2019,155223299,47444081,30.57,4367844,572,157,729
2020,Tuolumne,06109,55374.0,32505.0,111.5,,,147.0,,111.5,2951.0,,,,,,343.0,,,,,,,,,,,,,2020,146002573,45698472,31.3,4505337,468,126,594
2021,Tuolumne,06109,55065.0,32078.0,85.8,,,147.0,,85.8,2951.0,,,,,,267.3,,,,,,,,,,,,,2021,140807776,48488473,34.44,4581398,471,120,591
2022,Tuolumne,06109,54531.0,31510.0,116.0,,,147.0,,116.0,2951.0,,,,,,368.1,,,,,,,,,,,,,2022,166421809,57547263,34.58,4714376,342,115,457
2023,Tuolumne,06109,54531.0,31510.0,128.5,,,147.0,,128.5,2951.0,,,,,,407.8,,,,,,,,,,,,,2023,183324355,69594100,37.96,5280484,355,118,473
2024,Tuolumne,06109,54531.0,31510.0,149.0,,,147.0,,149.0,2951.0,,,,,,472.9,,,,,,,,,,,,,2024,191903729,76084054,39.65,5822446,343,137,480
2000,Ventura,06111,756506.0,499130.0,1549.2,213.1,1330.7,1707.3,778.1,771.2,6549.0,90.1,665.5,498.7,22.6,2.3,310.4,2091.0,136.0,1955.0,220.0,1037.0,751.0,16.0,12.0,418.9,1742.0,3581.1,717.5,,,,,,,,
2001,Ventura,06111,766689.0,507110.0,1441.8,201.1,1245.4,1708.0,685.2,756.5,21470.0,45.1,353.8,253.4,26.0,1.7,284.3,1916.0,110.0,1806.0,194.0,956.0,688.0,11.0,15.0,377.8,1387.0,3272.4,645.3,,,,,,,,
2002,Ventura,06111,779489.0,517438.0,1518.2,219.8,1298.4,1731.8,604.7,913.6,27320.0,62.4,408.3,330.5,21.3,1.3,293.4,1902.0,132.0,1770.0,195.0,948.0,689.0,9.0,13.0,367.6,1340.0,3378.6,653.0,,,,,,,,
2003,Ventura,06111,788070.0,524526.0,1692.5,229.7,1430.5,1827.1,674.1,1018.4,30966.0,118.1,840.9,655.4,19.9,2.6,322.7,1921.0,128.0,1793.0,210.0,937.0,704.0,8.0,14.0,366.2,1286.0,3455.8,658.8,2003,731415858,293460170,40.12,14120159,2701,11185,13886
2004,Ventura,06111,793994.0,530585.0,1693.8,239.6,1448.1,1835.0,869.2,824.6,30804.0,105.5,869.5,678.7,27.0,4.5,319.2,2008.0,141.0,1867.0,211.0,968.0,760.0,7.0,12.0,378.4,1276.0,3614.4,681.2,2004,749219504,317909980,42.43,12509653,3130,11206,14336
2005,Ventura,06111,794197.0,532728.0,1650.2,246.6,1397.4,1834.1,1036.0,614.2,27710.0,94.6,876.0,624.4,39.9,4.0,309.8,2109.0,151.0,1958.0,218.0,1037.0,778.0,14.0,10.0,395.9,1527.0,3752.9,704.5,2005,761510708,332592455,43.68,13469517,3386,10403,13789
